scenario,override_mapping_count,override_raws,lagos_extracted_row_count,lagos_valid_row_count,lagos_unresolved_row_count,lagos_excluded_row_count,lagos_unique_pair_count,common_pair_count,lagos_only_pair_count,existing_only_pair_count,top10_common_count,top20_common_count,top50_common_count,precision_at_10,precision_at_20,precision_at_50,recall_at_10,recall_at_20,recall_at_50,jaccard_at_10,jaccard_at_20,jaccard_at_50
baseline,0,,200,151,47,2,133,17,116,35,5,11,17,0.5,0.55,0.34,0.03759398496240601,0.08270676691729323,0.12781954887218044,0.036231884057971016,0.07746478873239436,0.10240963855421686
conservative,6,すいか | ゆず | コーヒー | スイカ | ミルクティ | ミルクティー,200,169,29,2,149,17,132,35,5,11,17,0.5,0.55,0.34,0.03355704697986577,0.0738255033557047,0.11409395973154363,0.032467532467532464,0.06962025316455696,0.09340659340659341
extended,9,すいか | ゆず | コーヒー | スイカ | チャイ | パイン | ミルクティ | ミルクティー | 洋ナシ,200,175,23,2,155,17,138,35,5,11,17,0.5,0.55,0.34,0.03225806451612903,0.07096774193548387,0.10967741935483871,0.03125,0.06707317073170732,0.09042553191489362
