k,top_k_ranking_size,common_pair_count,precision_at_k,recall_at_k,jaccard_at_k
10,10,5,0.5,0.03759398496240601,0.036231884057971016
20,20,11,0.55,0.08270676691729323,0.07746478873239436
50,50,17,0.34,0.12781954887218044,0.10240963855421686
