candidate_term,occurrence_count,article_count,context_example
グレナデン,6,6,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
パイン,4,4,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム
スイカ,2,2,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー
ミルクティ,1,1,ミルク/コーヒー キャラメル ミルクティ
チャイ,1,1,チャイ/シナモン カルダモン アールグレイ ローズ
ミルクティー,1,1,バニラ/ミルク ハニー/ミルクティー
